repo,issue,pr,amount,type,status,claimed_at,pr_url,notes
xxnjms1-code/kickama-prize-lab,2,7,$20 USD,Go idempotent collector,closed,2026-06-21,https://github.com/xxnjms1-code/kickama-prize-lab/pull/7,Closed 2026-06-21 UTC; do not count as active/revenue
xxnjms1-code/kickama-prize-lab,1,8,$35 USD,TypeScript auth refresh coordination,closed,2026-06-21,https://github.com/xxnjms1-code/kickama-prize-lab/pull/8,Closed 2026-06-21 UTC; do not count as active/revenue
Soengkit/frailbox-checkpoint,1,15,$25 USD,Python secrets validation,closed,2026-06-21,https://github.com/Soengkit/frailbox-checkpoint/pull/15,Closed 2026-06-23 UTC by owner as fork payout tracker not active intake/payment authority; do not count as active/revenue
Soengkit/frailbox-checkpoint,2,15,$25 USD,Rust SARIF export,closed,2026-06-21,https://github.com/Soengkit/frailbox-checkpoint/pull/15,Closed 2026-06-23 UTC by owner as fork payout tracker not active intake/payment authority; do not count as active/revenue
Soengkit/frailbox-checkpoint,3,15,$25 USD,C logger retention report,closed,2026-06-21,https://github.com/Soengkit/frailbox-checkpoint/pull/15,Closed 2026-06-23 UTC by owner as fork payout tracker not active intake/payment authority; do not count as active/revenue
Soengkit/frailbox-checkpoint,4,15,$25 USD,C newline regression,closed,2026-06-21,https://github.com/Soengkit/frailbox-checkpoint/pull/15,Closed 2026-06-23 UTC by owner as fork payout tracker not active intake/payment authority; do not count as active/revenue
Soengkit/frailbox-checkpoint,5,15,$25 USD,C self-test JSON,closed,2026-06-21,https://github.com/Soengkit/frailbox-checkpoint/pull/15,Closed 2026-06-23 UTC by owner as fork payout tracker not active intake/payment authority; do not count as active/revenue
Soengkit/frailbox-checkpoint,6,15,$25 USD,Perl watchdog JSON,closed,2026-06-21,https://github.com/Soengkit/frailbox-checkpoint/pull/15,Closed 2026-06-23 UTC by owner as fork payout tracker not active intake/payment authority; do not count as active/revenue
lobster-trap/Kickama,340,414,$20 USD,unverified_repo_no_access,2026-06-21,https://github.com/lobster-trap/Kickama/pull/414,GitHub currently returns repo not found/no access; do not count as active/accepted/revenue
lobster-trap/Kickama,411,415,$20 USD,unverified_repo_no_access,2026-06-21,https://github.com/lobster-trap/Kickama/pull/415,GitHub currently returns repo not found/no access; do not count as active/accepted/revenue
djjrip/kickama-cash-grab-hacks,2,37,$20 USD,Structured JSON build logs,open_live_verified,2026-06-21,https://github.com/djjrip/kickama-cash-grab-hacks/pull/37,OPEN clean no checks/reviews/comments; issue body says bounty $20 but title/body mismatch and competing PRs #38/#48 exist; monitor only; revenue only if accepted/paid
